SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MIN_ROLLING,FGM_ROLLING,FGA_ROLLING,FG_PCT_ROLLING,FG3M_ROLLING,FG3A_ROLLING,FG3_PCT_ROLLING,FTM_ROLLING,FTA_ROLLING,FT_PCT_ROLLING,OREB_ROLLING,DREB_ROLLING,REB_ROLLING,AST_ROLLING,STL_ROLLING,BLK_ROLLING,TOV_ROLLING,PF_ROLLING,PTS_ROLLING,PLUS_MINUS_ROLLING,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3,OPP DEF EFF,OPP DEF EFF L3,OPP F%,OPP F% L3,OPP FB PTS,OPP FB PTS L3,OPP FB EFF,OPP FB EFF L3,OPP 2PTS,OPP 2PTS L3,OPP 3PTS,OPP 3PTS L3
22021,1628378,0022100091,"OCT 31, 2021",UTA @ MIL,W,33,10,18,0.556,4,9,0.444,4,5,0.8,0,4,4,2,2,0,4,2,28,11,1,"[28, 37, 34, 24, 35]","[6, 9, 9, 5, 9]","[17, 25, 20, 12, 27]","[0.353, 0.36, 0.45, 0.417, 0.333]","[3, 6, 1, 2, 2]","[10, 14, 9, 5, 11]","[0.3, 0.429, 0.111, 0.4, 0.182]","[1, 3, 3, 3, 10]","[1, 4, 3, 3, 10]","[1.0, 0.75, 1.0, 1.0, 1.0]","[2, 1, 0, 0, 1]","[1, 4, 2, 3, 6]","[3, 5, 2, 3, 7]","[4, 4, 6, 6, 6]","[2, 2, 1, 2, 0]","[1, 0, 0, 0, 1]","[1, 5, 5, 1, 6]","[2, 2, 4, 1, 1]","[16, 27, 22, 15, 30]","[20, 18, -4, 16, 13]",112.7,108.0,1.057,1.019,48.4,46.7,13.5,12.3,1.841,1.609,60.7,58.7,38.0,34.0
22021,1628378,0022100105,"NOV 02, 2021",UTA vs. SAC,W,32,14,30,0.467,5,12,0.417,3,4,0.75,5,3,8,6,1,0,3,4,36,12,1,"[37, 34, 24, 35, 33]","[9, 9, 5, 9, 10]","[25, 20, 12, 27, 18]","[0.36, 0.45, 0.417, 0.333, 0.556]","[6, 1, 2, 2, 4]","[14, 9, 5, 11, 9]","[0.429, 0.111, 0.4, 0.182, 0.444]","[3, 3, 3, 10, 4]","[4, 3, 3, 10, 5]","[0.75, 1.0, 1.0, 1.0, 0.8]","[1, 0, 0, 1, 0]","[4, 2, 3, 6, 4]","[5, 2, 3, 7, 4]","[4, 6, 6, 6, 2]","[2, 1, 2, 0, 2]","[0, 0, 0, 1, 0]","[5, 5, 1, 6, 4]","[2, 4, 1, 1, 2]","[27, 22, 15, 30, 28]","[18, -4, 16, 13, 11]",111.8,107.0,1.072,1.038,49.6,49.5,12.5,14.3,1.389,1.87,60.3,64.7,34.0,27.0
22021,1628378,0022100134,"NOV 06, 2021",UTA @ MIA,L,37,14,28,0.5,4,15,0.267,5,6,0.833,0,0,0,7,2,0,2,3,37,12,1,"[34, 24, 35, 33, 32]","[9, 5, 9, 10, 14]","[20, 12, 27, 18, 30]","[0.45, 0.417, 0.333, 0.556, 0.467]","[1, 2, 2, 4, 5]","[9, 5, 11, 9, 12]","[0.111, 0.4, 0.182, 0.444, 0.417]","[3, 3, 10, 4, 3]","[3, 3, 10, 5, 4]","[1.0, 1.0, 1.0, 0.8, 0.75]","[0, 0, 1, 0, 5]","[2, 3, 6, 4, 3]","[2, 3, 7, 4, 8]","[6, 6, 6, 2, 6]","[1, 2, 0, 2, 1]","[0, 0, 1, 0, 0]","[5, 1, 6, 4, 3]","[4, 1, 1, 2, 4]","[22, 15, 30, 28, 36]","[-4, 16, 13, 11, 12]",98.4,102.7,0.961,1.047,43.0,45.8,10.4,9.0,1.383,1.227,41.5,37.3,40.1,46.0
22021,1628378,0022100141,"NOV 07, 2021",UTA @ ORL,L,33,8,24,0.333,2,12,0.167,3,3,1.0,3,4,7,7,0,0,3,5,21,-8,1,"[24, 35, 33, 32, 37]","[5, 9, 10, 14, 14]","[12, 27, 18, 30, 28]","[0.417, 0.333, 0.556, 0.467, 0.5]","[2, 2, 4, 5, 4]","[5, 11, 9, 12, 15]","[0.4, 0.182, 0.444, 0.417, 0.267]","[3, 10, 4, 3, 5]","[3, 10, 5, 4, 6]","[1.0, 1.0, 0.8, 0.75, 0.833]","[0, 1, 0, 5, 0]","[3, 6, 4, 3, 0]","[3, 7, 4, 8, 0]","[6, 6, 2, 6, 7]","[2, 0, 2, 1, 2]","[0, 1, 0, 0, 0]","[1, 6, 4, 3, 2]","[1, 1, 2, 4, 3]","[15, 30, 28, 36, 37]","[16, 13, 11, 12, 12]",108.6,97.0,1.07,0.956,49.0,44.6,13.2,8.7,1.333,1.0,55.8,52.7,36.9,30.0
22021,1628378,0022100156,"NOV 09, 2021",UTA vs. ATL,W,32,11,20,0.55,5,11,0.455,0,0,0.0,1,2,3,5,3,0,1,2,27,15,1,"[35, 33, 32, 37, 33]","[9, 10, 14, 14, 8]","[27, 18, 30, 28, 24]","[0.333, 0.556, 0.467, 0.5, 0.333]","[2, 4, 5, 4, 2]","[11, 9, 12, 15, 12]","[0.182, 0.444, 0.417, 0.267, 0.167]","[10, 4, 3, 5, 3]","[10, 5, 4, 6, 3]","[1.0, 0.8, 0.75, 0.833, 1.0]","[1, 0, 5, 0, 3]","[6, 4, 3, 0, 4]","[7, 4, 8, 0, 7]","[6, 2, 6, 7, 7]","[0, 2, 1, 2, 0]","[1, 0, 0, 0, 0]","[6, 4, 3, 2, 3]","[1, 2, 4, 3, 5]","[30, 28, 36, 37, 21]","[13, 11, 12, 12, -8]",111.5,121.3,1.094,1.163,48.8,51.3,13.3,13.3,1.759,1.481,55.5,54.0,40.6,49.0
22021,1628378,0022100172,"NOV 11, 2021",UTA vs. IND,L,33,11,20,0.55,3,7,0.429,1,1,1.0,0,5,5,4,3,0,0,3,26,-15,1,"[33, 32, 37, 33, 32]","[10, 14, 14, 8, 11]","[18, 30, 28, 24, 20]","[0.556, 0.467, 0.5, 0.333, 0.55]","[4, 5, 4, 2, 5]","[9, 12, 15, 12, 11]","[0.444, 0.417, 0.267, 0.167, 0.455]","[4, 3, 5, 3, 0]","[5, 4, 6, 3, 0]","[0.8, 0.75, 0.833, 1.0, 0.0]","[0, 5, 0, 3, 1]","[4, 3, 0, 4, 2]","[4, 8, 0, 7, 3]","[2, 6, 7, 7, 5]","[2, 1, 2, 0, 3]","[0, 0, 0, 0, 0]","[4, 3, 2, 3, 1]","[2, 4, 3, 5, 2]","[28, 36, 37, 21, 27]","[11, 12, 12, -8, 15]",108.8,100.7,1.054,1.044,48.3,46.2,13.3,13.7,1.514,1.577,56.5,45.3,35.3,39.0
22021,1628378,0022100185,"NOV 13, 2021",UTA vs. MIA,L,37,8,19,0.421,3,10,0.3,3,5,0.6,1,5,6,4,5,0,3,5,22,5,1,"[32, 37, 33, 32, 33]","[14, 14, 8, 11, 11]","[30, 28, 24, 20, 20]","[0.467, 0.5, 0.333, 0.55, 0.55]","[5, 4, 2, 5, 3]","[12, 15, 12, 11, 7]","[0.417, 0.267, 0.167, 0.455, 0.429]","[3, 5, 3, 0, 1]","[4, 6, 3, 0, 1]","[0.75, 0.833, 1.0, 0.0, 1.0]","[5, 0, 3, 1, 0]","[3, 0, 4, 2, 5]","[8, 0, 7, 3, 5]","[6, 7, 7, 5, 4]","[1, 2, 0, 3, 3]","[0, 0, 0, 0, 0]","[3, 2, 3, 1, 0]","[4, 3, 5, 2, 3]","[36, 37, 21, 27, 26]","[12, 12, -8, 15, -15]",103.9,115.0,1.017,1.094,45.6,49.5,11.6,13.3,1.527,1.905,47.3,60.0,40.8,41.0
22021,1628378,0022100211,"NOV 16, 2021",UTA vs. PHI,W,22,5,12,0.417,1,3,0.333,2,3,0.667,0,3,3,3,1,1,0,2,13,20,1,"[37, 33, 32, 33, 37]","[14, 8, 11, 11, 8]","[28, 24, 20, 20, 19]","[0.5, 0.333, 0.55, 0.55, 0.421]","[4, 2, 5, 3, 3]","[15, 12, 11, 7, 10]","[0.267, 0.167, 0.455, 0.429, 0.3]","[5, 3, 0, 1, 3]","[6, 3, 0, 1, 5]","[0.833, 1.0, 0.0, 1.0, 0.6]","[0, 3, 1, 0, 1]","[0, 4, 2, 5, 5]","[0, 7, 3, 5, 6]","[7, 7, 5, 4, 4]","[2, 0, 3, 3, 5]","[0, 0, 0, 0, 0]","[2, 3, 1, 0, 3]","[3, 5, 2, 3, 5]","[37, 21, 27, 26, 22]","[12, -8, 15, -15, 5]",105.7,117.0,1.073,1.169,48.9,52.3,15.9,22.7,2.253,3.091,56.1,60.0,34.7,43.0
22021,1628378,0022100229,"NOV 18, 2021",UTA vs. TOR,W,29,6,13,0.462,2,7,0.286,6,6,1.0,0,3,3,1,4,0,6,3,20,-2,1,"[33, 32, 33, 37, 22]","[8, 11, 11, 8, 5]","[24, 20, 20, 19, 12]","[0.333, 0.55, 0.55, 0.421, 0.417]","[2, 5, 3, 3, 1]","[12, 11, 7, 10, 3]","[0.167, 0.455, 0.429, 0.3, 0.333]","[3, 0, 1, 3, 2]","[3, 0, 1, 5, 3]","[1.0, 0.0, 1.0, 0.6, 0.667]","[3, 1, 0, 1, 0]","[4, 2, 5, 5, 3]","[7, 3, 5, 6, 3]","[7, 5, 4, 4, 3]","[0, 3, 3, 5, 1]","[0, 0, 0, 0, 1]","[3, 1, 0, 3, 0]","[5, 2, 3, 5, 2]","[21, 27, 26, 22, 13]","[-8, 15, -15, 5, 20]",105.2,118.0,1.057,1.199,47.8,53.6,9.6,12.7,1.469,2.0,52.5,58.0,36.8,42.0
22021,1628378,0022100247,"NOV 20, 2021",UTA @ SAC,W,32,11,22,0.5,3,7,0.429,1,1,1.0,0,5,5,5,1,0,3,3,26,10,1,"[32, 33, 37, 22, 29]","[11, 11, 8, 5, 6]","[20, 20, 19, 12, 13]","[0.55, 0.55, 0.421, 0.417, 0.462]","[5, 3, 3, 1, 2]","[11, 7, 10, 3, 7]","[0.455, 0.429, 0.3, 0.333, 0.286]","[0, 1, 3, 2, 6]","[0, 1, 5, 3, 6]","[0.0, 1.0, 0.6, 0.667, 1.0]","[1, 0, 1, 0, 0]","[2, 5, 5, 3, 3]","[3, 5, 6, 3, 3]","[5, 4, 4, 3, 1]","[3, 3, 5, 1, 4]","[0, 0, 0, 1, 0]","[1, 0, 3, 0, 6]","[2, 3, 5, 2, 3]","[27, 26, 22, 13, 20]","[15, -15, 5, 20, -2]",110.3,107.3,1.063,1.049,48.9,47.4,11.1,13.7,1.311,1.708,59.5,55.3,34.9,35.0
