SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MIN_ROLLING,FGM_ROLLING,FGA_ROLLING,FG_PCT_ROLLING,FG3M_ROLLING,FG3A_ROLLING,FG3_PCT_ROLLING,FTM_ROLLING,FTA_ROLLING,FT_PCT_ROLLING,OREB_ROLLING,DREB_ROLLING,REB_ROLLING,AST_ROLLING,STL_ROLLING,BLK_ROLLING,TOV_ROLLING,PF_ROLLING,PTS_ROLLING,PLUS_MINUS_ROLLING,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3,OPP DEF EFF,OPP DEF EFF L3,OPP F%,OPP F% L3,OPP FB PTS,OPP FB PTS L3,OPP FB EFF,OPP FB EFF L3,OPP 2PTS,OPP 2PTS L3,OPP 3PTS,OPP 3PTS L3
22023,2544,0022300134,"NOV 04, 2023",LAL @ ORL,L,35,8,15,0.533,2,5,0.4,6,7,0.857,1,8,9,5,3,0,3,1,24,12,1,"[29, 35, 39, 33, 42]","[10, 7, 11, 7, 13]","[16, 14, 19, 17, 19]","[0.625, 0.5, 0.579, 0.412, 0.684]","[1, 1, 3, 2, 4]","[4, 5, 8, 6, 8]","[0.25, 0.2, 0.375, 0.333, 0.5]","[0, 6, 2, 3, 5]","[1, 8, 6, 4, 10]","[0.0, 0.75, 0.333, 0.75, 0.5]","[1, 1, 0, 0, 0]","[7, 7, 15, 3, 12]","[8, 8, 15, 3, 12]","[5, 9, 8, 4, 7]","[1, 2, 0, 3, 1]","[0, 2, 0, 1, 2]","[0, 5, 8, 5, 4]","[1, 1, 2, 0, 3]","[21, 21, 27, 19, 35]","[7, 22, -5, 5, 6]",104.0,112.3,1.013,1.066,46.8,49.5,10.8,12.0,1.421,1.385,55.6,62.0,33.0,34.0
22023,2544,0022300150,"NOV 06, 2023",LAL @ MIA,L,37,13,23,0.565,0,4,0.0,4,4,1.0,0,4,4,3,1,3,5,4,30,6,1,"[35, 39, 33, 42, 35]","[7, 11, 7, 13, 8]","[14, 19, 17, 19, 15]","[0.5, 0.579, 0.412, 0.684, 0.533]","[1, 3, 2, 4, 2]","[5, 8, 6, 8, 5]","[0.2, 0.375, 0.333, 0.5, 0.4]","[6, 2, 3, 5, 6]","[8, 6, 4, 10, 7]","[0.75, 0.333, 0.75, 0.5, 0.857]","[1, 0, 0, 0, 1]","[7, 15, 3, 12, 8]","[8, 15, 3, 12, 9]","[9, 8, 4, 7, 5]","[2, 0, 3, 1, 3]","[2, 0, 1, 2, 0]","[5, 8, 5, 4, 3]","[1, 2, 0, 3, 1]","[21, 27, 19, 35, 24]","[22, -5, 5, 6, 12]",112.0,115.0,1.097,1.098,49.9,50.4,15.3,18.3,2.044,2.115,59.0,57.3,40.0,41.0
22023,2544,0022300163,"NOV 08, 2023",LAL @ HOU,L,27,7,13,0.538,0,2,0.0,4,5,0.8,1,5,6,2,0,0,3,1,18,-24,1,"[39, 33, 42, 35, 37]","[11, 7, 13, 8, 13]","[19, 17, 19, 15, 23]","[0.579, 0.412, 0.684, 0.533, 0.565]","[3, 2, 4, 2, 0]","[8, 6, 8, 5, 4]","[0.375, 0.333, 0.5, 0.4, 0.0]","[2, 3, 5, 6, 4]","[6, 4, 10, 7, 4]","[0.333, 0.75, 0.5, 0.857, 1.0]","[0, 0, 0, 1, 0]","[15, 3, 12, 8, 4]","[15, 3, 12, 9, 4]","[8, 4, 7, 5, 3]","[0, 3, 1, 3, 1]","[0, 1, 2, 0, 3]","[8, 5, 4, 3, 5]","[2, 0, 3, 1, 4]","[27, 19, 35, 24, 30]","[-5, 5, 6, 12, 6]",108.8,101.7,1.08,1.036,49.4,47.6,9.3,9.3,1.273,1.474,53.3,51.3,38.0,36.0
22023,2544,0022300015,"NOV 10, 2023",LAL @ PHX,W,36,11,17,0.647,3,4,0.75,7,11,0.636,1,10,11,6,1,1,4,1,32,2,1,"[33, 42, 35, 37, 27]","[7, 13, 8, 13, 7]","[17, 19, 15, 23, 13]","[0.412, 0.684, 0.533, 0.565, 0.538]","[2, 4, 2, 0, 0]","[6, 8, 5, 4, 2]","[0.333, 0.5, 0.4, 0.0, 0.0]","[3, 5, 6, 4, 4]","[4, 10, 7, 4, 5]","[0.75, 0.5, 0.857, 1.0, 0.8]","[0, 0, 1, 0, 1]","[3, 12, 8, 4, 5]","[3, 12, 9, 4, 6]","[4, 7, 5, 3, 2]","[3, 1, 3, 1, 0]","[1, 2, 0, 3, 0]","[5, 4, 3, 5, 3]","[0, 3, 1, 4, 1]","[19, 35, 24, 30, 18]","[5, 6, 12, 6, -24]",111.0,111.0,1.064,1.06,48.7,48.7,12.8,14.7,1.417,1.833,60.5,63.3,34.5,33.0
22023,2544,0022300026,"NOV 14, 2023",LAL vs. MEM,W,23,6,11,0.545,3,6,0.5,1,2,0.5,0,9,9,6,1,0,4,1,16,15,1,"[42, 35, 37, 27, 36]","[13, 8, 13, 7, 11]","[19, 15, 23, 13, 17]","[0.684, 0.533, 0.565, 0.538, 0.647]","[4, 2, 0, 0, 3]","[8, 5, 4, 2, 4]","[0.5, 0.4, 0.0, 0.0, 0.75]","[5, 6, 4, 4, 7]","[10, 7, 4, 5, 11]","[0.5, 0.857, 1.0, 0.8, 0.636]","[0, 1, 0, 1, 1]","[12, 8, 4, 5, 10]","[12, 9, 4, 6, 11]","[7, 5, 3, 2, 6]","[1, 3, 1, 0, 1]","[2, 0, 3, 0, 1]","[4, 3, 5, 3, 4]","[3, 1, 4, 1, 1]","[35, 24, 30, 18, 32]","[6, 12, 6, -24, 2]",114.1,112.0,1.079,1.081,48.2,48.8,13.5,16.0,1.5,1.714,49.2,48.0,45.9,41.0
22023,2544,0022300198,"NOV 15, 2023",LAL vs. SAC,L,35,9,15,0.6,3,7,0.429,7,8,0.875,2,8,10,12,4,1,6,1,28,0,1,"[35, 37, 27, 36, 23]","[8, 13, 7, 11, 6]","[15, 23, 13, 17, 11]","[0.533, 0.565, 0.538, 0.647, 0.545]","[2, 0, 0, 3, 3]","[5, 4, 2, 4, 6]","[0.4, 0.0, 0.0, 0.75, 0.5]","[6, 4, 4, 7, 1]","[7, 4, 5, 11, 2]","[0.857, 1.0, 0.8, 0.636, 0.5]","[1, 0, 1, 1, 0]","[8, 4, 5, 10, 9]","[9, 4, 6, 11, 9]","[5, 3, 2, 6, 6]","[3, 1, 0, 1, 1]","[0, 3, 0, 1, 0]","[3, 5, 3, 4, 4]","[1, 4, 1, 1, 1]","[24, 30, 18, 32, 16]","[12, 6, -24, 2, 15]",114.4,112.0,1.1,1.075,50.6,50.0,10.8,7.3,1.54,1.0,60.9,64.7,36.0,31.0
22023,2544,0022300036,"NOV 17, 2023",LAL @ POR,W,35,13,22,0.591,5,9,0.556,4,6,0.667,0,5,5,9,2,0,3,3,35,19,1,"[37, 27, 36, 23, 35]","[13, 7, 11, 6, 9]","[23, 13, 17, 11, 15]","[0.565, 0.538, 0.647, 0.545, 0.6]","[0, 0, 3, 3, 3]","[4, 2, 4, 6, 7]","[0.0, 0.0, 0.75, 0.5, 0.429]","[4, 4, 7, 1, 7]","[4, 5, 11, 2, 8]","[1.0, 0.8, 0.636, 0.5, 0.875]","[0, 1, 1, 0, 2]","[4, 5, 10, 9, 8]","[4, 6, 11, 9, 10]","[3, 2, 6, 6, 12]","[1, 0, 1, 1, 4]","[3, 0, 1, 0, 1]","[5, 3, 4, 4, 6]","[4, 1, 1, 1, 1]","[30, 18, 32, 16, 28]","[6, -24, 2, 15, 0]",111.7,113.3,1.076,1.115,50.3,52.6,18.0,18.3,1.941,2.292,63.6,67.3,30.3,26.0
22023,2544,0022300216,"NOV 19, 2023",LAL vs. HOU,W,40,14,19,0.737,2,5,0.4,7,9,0.778,1,5,6,8,3,0,2,0,37,2,1,"[27, 36, 23, 35, 35]","[7, 11, 6, 9, 13]","[13, 17, 11, 15, 22]","[0.538, 0.647, 0.545, 0.6, 0.591]","[0, 3, 3, 3, 5]","[2, 4, 6, 7, 9]","[0.0, 0.75, 0.5, 0.429, 0.556]","[4, 7, 1, 7, 4]","[5, 11, 2, 8, 6]","[0.8, 0.636, 0.5, 0.875, 0.667]","[1, 1, 0, 2, 0]","[5, 10, 9, 8, 5]","[6, 11, 9, 10, 5]","[2, 6, 6, 12, 9]","[0, 1, 1, 4, 2]","[0, 1, 0, 1, 0]","[3, 4, 4, 6, 3]","[1, 1, 1, 1, 3]","[18, 32, 16, 28, 35]","[-24, 2, 15, 0, 19]",105.8,103.7,1.051,1.032,48.8,48.6,7.8,4.3,1.114,0.684,54.2,54.7,33.9,30.0
22023,2544,0022300042,"NOV 21, 2023",LAL vs. UTA,W,24,6,10,0.6,3,5,0.6,2,2,1.0,1,6,7,9,0,0,2,0,17,14,1,"[36, 23, 35, 35, 40]","[11, 6, 9, 13, 14]","[17, 11, 15, 22, 19]","[0.647, 0.545, 0.6, 0.591, 0.737]","[3, 3, 3, 5, 2]","[4, 6, 7, 9, 5]","[0.75, 0.5, 0.429, 0.556, 0.4]","[7, 1, 7, 4, 7]","[11, 2, 8, 6, 9]","[0.636, 0.5, 0.875, 0.667, 0.778]","[1, 0, 2, 0, 1]","[10, 9, 8, 5, 5]","[11, 9, 10, 5, 6]","[6, 6, 12, 9, 8]","[1, 1, 4, 2, 3]","[1, 0, 1, 0, 0]","[4, 4, 6, 3, 2]","[1, 1, 1, 3, 0]","[32, 16, 28, 35, 37]","[2, 15, 0, 19, 2]",122.0,123.3,1.163,1.149,52.8,51.2,13.8,9.0,1.513,1.286,60.8,56.7,42.0,47.0
22023,2544,0022300238,"NOV 22, 2023",LAL vs. DAL,L,36,9,19,0.474,4,9,0.444,4,7,0.571,2,7,9,7,0,0,3,0,26,7,1,"[23, 35, 35, 40, 24]","[6, 9, 13, 14, 6]","[11, 15, 22, 19, 10]","[0.545, 0.6, 0.591, 0.737, 0.6]","[3, 3, 5, 2, 3]","[6, 7, 9, 5, 5]","[0.5, 0.429, 0.556, 0.4, 0.6]","[1, 7, 4, 7, 2]","[2, 8, 6, 9, 2]","[0.5, 0.875, 0.667, 0.778, 1.0]","[0, 2, 0, 1, 1]","[9, 8, 5, 5, 6]","[9, 10, 5, 6, 7]","[6, 12, 9, 8, 9]","[1, 4, 2, 3, 0]","[0, 1, 0, 0, 0]","[4, 6, 3, 2, 2]","[1, 1, 3, 0, 0]","[16, 28, 35, 37, 17]","[15, 0, 19, 2, 14]",120.4,126.0,1.148,1.213,52.7,54.3,16.7,11.3,2.071,1.478,65.6,62.7,39.0,46.0
