NAME,DATE,TM,H/A Status,OPP,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,+/-,L5 PTS AVG,L5 REB AVG,L5 AST AVG,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3
LeBron James,3/27/2022,LA Lakers,@,New Orleans,42,39,9,5,0,1,14,27,51.9,7,13,53.8,4,6,66.7,65.8,1,8,4,1,-9,30.8,8.0,5.2,109.8,107.3
LeBron James,4/1/2022,LA Lakers,vs,New Orleans,40,38,8,4,1,0,13,23,56.5,3,8,37.5,9,12,75.0,67.2,0,8,6,3,-2,32.2,8.6,6.4,109.8,107.3
LeBron James,1/7/2023,LA Lakers,@,Sacramento,38,37,8,7,1,0,14,28,50.0,1,6,16.7,8,9,88.9,57.9,1,7,4,2,15,34.0,8.6,6.8,116.8,117.7
LeBron James,1/12/2023,LA Lakers,vs,Dallas,47,24,16,9,2,0,9,28,32.1,0,7,0.0,6,10,60.0,37.0,6,10,3,0,-3,37.8,9.2,6.8,111.0,116.7
LeBron James,1/15/2023,LA Lakers,vs,Philadelphia,35,35,8,10,1,1,15,23,65.2,1,5,20.0,4,5,80.0,69.4,0,8,3,1,19,38.0,9.0,6.8,110.1,122.0
LeBron James,1/16/2023,LA Lakers,vs,Houston,36,48,8,9,0,0,16,26,61.5,5,10,50.0,11,12,91.7,76.7,1,7,0,1,19,35.2,10.2,7.4,117.0,131.7
LeBron James,1/18/2023,LA Lakers,vs,Sacramento,37,32,8,9,1,1,11,25,44.0,2,9,22.2,8,9,88.9,55.2,0,8,1,0,-16,34.6,9.8,7.0,117.0,116.0
LeBron James,1/20/2023,LA Lakers,vs,Memphis,37,23,9,6,2,2,8,21,38.1,1,5,20.0,6,7,85.7,47.8,2,7,3,4,9,36.4,9.6,7.8,111.7,110.7
LeBron James,1/22/2023,LA Lakers,@,Portland,36,37,11,4,0,2,14,24,58.3,2,7,28.6,7,10,70.0,65.1,0,11,4,2,17,35.2,9.6,8.8,112.6,116.7
LeBron James,1/24/2023,LA Lakers,vs,LA Clippers,33,46,8,7,2,1,16,29,55.2,9,14,64.3,5,5,100.0,73.7,1,7,0,0,-14,32.4,9.8,8.6,110.5,116.7
LeBron James,1/25/2023,LA Lakers,vs,San Antonio,35,20,9,11,0,0,8,20,40.0,1,6,16.7,3,4,75.0,46.0,1,8,6,0,2,35.0,8.8,7.6,122.0,125.3
LeBron James,1/28/2023,LA Lakers,@,Boston,44,41,9,8,0,0,15,30,50.0,6,12,50.0,5,6,83.3,62.8,1,8,2,2,1,37.2,8.8,7.0,112.1,110.3
LeBron James,1/31/2023,LA Lakers,@,New York,43,28,10,11,1,0,11,25,44.0,2,8,25.0,4,7,57.1,49.9,1,9,5,2,22,31.6,9.0,7.4,112.4,114.0
LeBron James,2/2/2023,LA Lakers,@,Indiana,33,26,7,7,0,0,11,19,57.9,2,5,40.0,2,2,100.0,65.4,2,5,3,1,-4,33.4,9.2,7.2,117.2,126.3
LeBron James,2/4/2023,LA Lakers,@,New Orleans,40,27,9,6,0,0,10,22,45.5,1,7,14.3,6,9,66.7,52.0,0,9,2,2,-5,34.4,9.4,8.2,113.6,122.7
LeBron James,2/7/2023,LA Lakers,vs,Okla City,34,38,7,3,3,0,13,20,65.0,4,6,66.7,8,10,80.0,77.9,0,7,4,3,8,32.2,8.6,8.8,116.4,124.7
LeBron James,2/15/2023,LA Lakers,vs,New Orleans,29,21,6,6,0,1,7,14,50.0,0,5,0.0,7,10,70.0,57.1,0,6,4,1,14,28.4,8.8,8.6,113.4,108.3
LeBron James,2/23/2023,LA Lakers,vs,Golden State,26,13,9,8,0,0,5,20,25.0,2,6,33.3,1,2,50.0,31.1,3,6,2,2,22,32.0,8.4,7.0,118.5,123.0
LeBron James,2/26/2023,LA Lakers,@,Dallas,37,26,8,3,1,1,10,23,43.5,1,6,16.7,5,7,71.4,49.8,3,5,3,4,0,28.0,7.8,6.6,112.6,119.3
LeBron James,3/26/2023,LA Lakers,vs,Chicago,30,19,8,3,0,0,6,11,54.5,0,2,0.0,7,8,87.5,65.4,1,7,5,2,4,25.0,7.6,6.0,112.3,105.7
LeBron James,3/29/2023,LA Lakers,@,Chicago,31,25,8,4,2,0,10,19,52.6,1,3,33.3,4,4,100.0,60.2,3,5,4,2,23,25.0,7.8,5.2,112.4,109.3
LeBron James,3/31/2023,LA Lakers,@,Minnesota,32,18,10,6,1,2,7,19,36.8,1,3,33.3,3,4,75.0,43.4,1,9,3,1,3,23.4,7.6,4.6,115.9,106.0
LeBron James,4/2/2023,LA Lakers,@,Houston,29,18,10,11,0,1,8,18,44.4,1,7,14.3,1,1,100.0,48.8,2,8,1,1,23,20.8,7.8,4.8,118.8,125.0
LeBron James,4/4/2023,LA Lakers,@,Utah,38,37,5,6,1,1,14,27,51.9,3,10,30.0,6,6,100.0,62.4,0,5,5,2,-7,20.2,8.6,4.8,117.8,116.7
LeBron James,4/5/2023,LA Lakers,@,LA Clippers,35,33,8,7,1,1,13,20,65.0,4,6,66.7,3,5,60.0,74.3,0,8,6,0,-10,21.2,8.8,5.4,112.9,120.7
LeBron James,4/7/2023,LA Lakers,vs,Phoenix,29,16,6,6,0,0,6,19,31.6,3,7,42.9,1,2,50.0,40.2,0,6,5,1,11,23.4,8.2,6.0,111.4,109.0
LeBron James,4/9/2023,LA Lakers,vs,Utah,33,36,6,6,1,1,13,25,52.0,8,14,57.1,2,2,100.0,69.6,1,5,2,0,20,26.2,8.2,6.8,117.9,121.0
LeBron James,2/8/2024,LA Lakers,vs,Denver,35,25,9,7,1,1,9,20,45.0,2,6,33.3,5,5,100.0,56.3,1,8,2,0,-6,24.4,7.8,7.2,110.6,105.3
LeBron James,2/9/2024,LA Lakers,vs,New Orleans,38,21,4,14,1,1,6,13,46.2,2,2,100.0,7,8,87.5,63.6,1,3,2,2,15,28.0,7.0,7.2,112.5,106.3
LeBron James,2/13/2024,LA Lakers,vs,Detroit,31,25,1,8,0,0,9,15,60.0,3,6,50.0,4,4,100.0,74.6,0,1,4,0,9,29.4,6.8,6.4,122.1,118.0
LeBron James,2/23/2024,LA Lakers,vs,San Antonio,34,30,7,9,1,0,13,22,59.1,2,3,66.7,2,2,100.0,65.6,1,6,2,0,21,26.2,6.6,8.0,120.6,114.0
LeBron James,2/25/2024,LA Lakers,@,Phoenix,37,28,7,12,2,1,12,19,63.2,3,6,50.0,1,4,25.0,67.4,1,6,3,3,-8,24.6,5.2,8.2,114.5,112.3
LeBron James,2/28/2024,LA Lakers,@,LA Clippers,37,34,6,8,0,2,13,21,61.9,7,12,58.3,1,1,100.0,79.3,1,5,3,2,11,27.4,5.4,8.8,112.9,115.7
LeBron James,2/29/2024,LA Lakers,vs,Washington,39,31,4,9,1,1,12,24,50.0,2,5,40.0,5,7,71.4,57.2,0,4,4,1,-5,25.8,5.6,10.0,124.2,128.0
LeBron James,3/2/2024,LA Lakers,vs,Denver,37,26,4,9,3,0,12,20,60.0,2,5,40.0,0,2,0.0,62.3,0,4,3,1,-1,27.6,5.0,10.2,110.2,98.7
LeBron James,3/4/2024,LA Lakers,vs,Okla City,31,19,11,8,1,0,7,14,50.0,1,3,33.3,4,5,80.0,58.6,1,10,3,1,14,29.6,5.0,9.2,113.3,112.3
LeBron James,3/6/2024,LA Lakers,vs,Sacramento,36,31,5,13,1,0,10,16,62.5,1,4,25.0,10,10,100.0,76.0,0,5,3,0,-3,29.8,5.6,9.4,117.8,116.7
LeBron James,3/10/2024,LA Lakers,vs,Minnesota,38,29,8,9,0,0,10,16,62.5,2,4,50.0,7,9,77.8,72.6,0,8,4,1,14,27.6,6.4,9.2,106.6,112.7
LeBron James,3/13/2024,LA Lakers,@,Sacramento,40,18,13,9,2,0,6,16,37.5,2,8,25.0,4,6,66.7,48.3,1,12,5,3,-10,28.2,6.0,9.4,117.5,111.7
LeBron James,3/16/2024,LA Lakers,vs,Golden State,38,40,8,9,1,1,15,23,65.2,3,5,60.0,7,8,87.5,75.4,3,5,4,1,-6,27.2,6.4,9.6,116.7,112.3
LeBron James,3/18/2024,LA Lakers,vs,Atlanta,29,25,7,10,0,0,10,14,71.4,2,5,40.0,3,3,100.0,81.6,0,7,2,0,20,24.6,8.2,9.6,120.8,107.7
LeBron James,3/22/2024,LA Lakers,vs,Philadelphia,38,20,8,6,0,1,7,15,46.7,1,3,33.3,5,7,71.4,55.3,0,8,8,1,7,27.4,9.0,9.6,112.4,101.3
LeBron James,3/24/2024,LA Lakers,vs,Indiana,38,26,5,10,1,1,8,19,42.1,2,4,50.0,8,8,100.0,57.7,1,4,3,1,12,28.6,8.2,10.0,120.6,107.3
LeBron James,3/27/2024,LA Lakers,@,Memphis,35,23,14,12,1,0,8,14,57.1,0,1,0.0,7,11,63.6,61.0,0,14,4,1,33,26.4,8.8,8.6,112.8,120.7
LeBron James,3/29/2024,LA Lakers,@,Indiana,35,16,10,8,0,0,6,12,50.0,0,3,0.0,4,4,100.0,58.1,1,9,5,1,-13,25.8,8.2,8.8,121.0,130.3
LeBron James,3/31/2024,LA Lakers,@,Brooklyn,37,40,7,5,0,0,13,17,76.5,9,10,90.0,5,6,83.3,101.8,1,6,4,0,22,26.8,8.4,9.4,113.5,105.0
LeBron James,4/2/2024,LA Lakers,@,Toronto,29,23,4,9,0,0,10,12,83.3,1,1,100.0,2,5,40.0,81.0,0,4,1,0,13,22.0,8.8,9.2,118.4,125.3
LeBron James,4/3/2024,LA Lakers,@,Washington,36,25,7,9,3,0,9,18,50.0,0,1,0.0,7,9,77.8,56.9,2,5,4,2,9,25.0,8.8,8.2,122.8,109.3
LeBron James,4/6/2024,LA Lakers,vs,Cleveland,36,24,5,12,1,1,10,18,55.6,1,5,20.0,3,5,60.0,59.4,0,5,5,1,10,25.6,8.0,8.8,109.9,121.7
LeBron James,4/9/2024,LA Lakers,vs,Golden State,36,33,7,11,2,0,14,22,63.6,1,3,33.3,4,5,80.0,68.2,1,6,4,0,-6,25.4,8.4,8.6,115.4,109.3
LeBron James,4/12/2024,LA Lakers,@,Memphis,41,37,9,5,2,0,13,20,65.0,3,7,42.9,8,11,72.7,74.5,2,7,8,1,-3,25.6,6.6,8.6,112.5,109.3
LeBron James,4/14/2024,LA Lakers,@,New Orleans,38,28,11,17,5,1,11,20,55.0,0,2,0.0,6,6,100.0,61.8,2,9,4,0,19,29.0,6.0,9.2,110.5,110.7
LeBron James,10/28/2024,LA Lakers,@,Phoenix,36,11,5,8,1,0,3,14,21.4,2,5,40.0,3,6,50.0,33.1,0,5,2,1,-17,28.4,6.4,9.2,112.7,112.7
LeBron James,10/30/2024,LA Lakers,@,Cleveland,29,26,6,3,0,0,9,13,69.2,1,3,33.3,7,7,100.0,80.8,1,5,6,2,-17,29.4,7.8,10.8,106.8,107.0
LeBron James,11/1/2024,LA Lakers,@,Toronto,36,27,6,10,1,0,9,17,52.9,5,8,62.5,4,6,66.7,68.7,0,6,0,1,11,26.6,7.4,10.6,124.0,125.7
LeBron James,11/4/2024,LA Lakers,@,Detroit,40,20,8,11,2,0,7,16,43.8,1,2,50.0,5,5,100.0,54.9,1,7,1,1,-16,27.0,7.6,8.8,110.4,105.0
LeBron James,11/6/2024,LA Lakers,@,Memphis,35,39,7,6,1,0,15,24,62.5,6,11,54.5,3,4,75.0,75.7,0,7,5,2,-21,25.8,7.4,8.6,115.0,104.0
LeBron James,11/8/2024,LA Lakers,vs,Philadelphia,34,21,12,13,0,3,9,14,64.3,2,4,50.0,1,1,100.0,72.7,0,12,2,0,12,22.4,7.2,9.8,115.7,117.3
LeBron James,11/10/2024,LA Lakers,vs,Toronto,35,19,10,16,1,0,6,14,42.9,0,3,0.0,7,7,100.0,55.6,2,8,3,0,13,24.6,6.4,7.6,122.7,116.0
LeBron James,11/13/2024,LA Lakers,vs,Memphis,37,35,12,14,1,0,13,22,59.1,4,7,57.1,5,8,62.5,68.6,1,11,6,2,3,26.6,7.8,8.6,111.5,102.3
LeBron James,11/15/2024,LA Lakers,@,San Antonio,38,15,16,12,1,0,6,12,50.0,1,4,25.0,2,4,50.0,54.5,1,15,7,0,3,25.2,8.6,11.2,109.2,112.3
