SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3,OPP DEF EFF,OPP DEF EFF L3,OPP F%,OPP F% L3,OPP FB PTS,OPP FB PTS L3,OPP FB EFF,OPP FB EFF L3,OPP 2PTS,OPP 2PTS L3,OPP 3PTS,OPP 3PTS L3
22020,1629636,0022000563,"FEB 19, 2021",CLE vs. DEN,L,36,6,15,0.4,2,7,0.286,0,0,0.0,0,1,1,5,3,0,3,2,14,-11,1,111.7,115.7,1.091,1.127,49.7,52.3,13.1,11.0,1.803,1.833,55.3,58.0,38.9,36.0
22020,1629636,0022000466,"FEB 21, 2021",CLE vs. OKC,L,38,7,14,0.5,2,5,0.4,5,6,0.833,1,2,3,8,3,0,2,2,21,-6,1,113.1,111.7,1.079,1.102,48.9,50.0,9.7,9.7,1.206,1.160,59.2,50.7,39.5,43.0
22020,1629636,0022000480,"FEB 23, 2021",CLE vs. ATL,W,43,7,19,0.368,1,5,0.2,2,4,0.5,1,1,2,8,2,0,5,0,17,1,1,113.2,116.7,1.097,1.150,50.2,51.8,11.2,10.7,1.412,1.280,59.4,62.0,35.2,40.0
22020,1629636,0022000491,"FEB 24, 2021",CLE vs. HOU,W,35,4,14,0.286,3,10,0.3,0,0,0.0,0,4,4,10,0,0,8,2,11,19,1,111.6,123.0,1.059,1.131,48.8,51.9,14.9,17.0,1.815,1.645,57.4,64.7,35.8,39.0
22020,1629636,0022000513,"FEB 27, 2021",CLE @ PHI,W,42,9,24,0.375,2,5,0.4,5,7,0.714,1,1,2,9,2,0,4,2,25,-1,1,110.7,103.0,1.059,1.023,48.1,45.4,16.0,15.3,2.125,2.421,54.8,49.3,38.5,38.0
22020,1629636,0022000532,"MAR 01, 2021",CLE @ HOU,W,30,5,13,0.385,0,3,0.0,4,4,1.0,0,3,3,7,3,0,5,2,14,7,1,112.6,122.3,1.069,1.163,49.1,52.4,15.6,22.7,1.894,2.615,57.8,60.7,36.4,42.0
22020,1629636,0022000543,"MAR 03, 2021",CLE vs. IND,L,19,6,9,0.667,3,4,0.75,1,1,1.0,0,0,0,5,0,0,3,1,16,16,1,112.6,119.3,1.077,1.120,49.3,51.1,12.3,14.7,1.695,1.760,57.9,64.0,36.5,36.0
22020,1629636,0022000597,"MAR 14, 2021",CLE @ ATL,L,29,4,9,0.444,2,6,0.333,1,2,0.5,1,0,1,7,0,0,2,2,11,-20,1,112.2,112.7,1.099,1.116,50.2,50.2,11.3,9.3,1.411,1.474,58.5,56.0,35.4,37.0
22020,1629636,0022000610,"MAR 16, 2021",CLE @ MIA,L,34,4,11,0.364,2,4,0.5,1,1,1.0,0,1,1,3,1,0,5,1,11,-17,1,107.5,96.7,1.061,0.967,46.9,41.9,10.6,9.0,1.276,1.800,47.4,42.0,44.4,43.0
22020,1629636,0022000620,"MAR 17, 2021",CLE vs. BOS,W,38,9,16,0.563,2,5,0.4,5,6,0.833,0,4,4,6,1,0,2,5,25,2,1,111.1,115.0,1.094,1.126,49.7,48.9,11.5,9.7,1.589,1.706,54.3,40.7,38.1,54.0
22020,1629636,0022000435,"MAR 19, 2021",CLE vs. SAS,L,36,8,16,0.5,2,4,0.5,11,11,1.0,0,1,1,8,1,0,4,2,29,-2,1,110.1,110.7,1.073,1.122,48.8,51.9,11.5,8.0,1.919,1.091,57.8,68.0,38.4,33.0
22020,1629636,0022000648,"MAR 21, 2021",CLE vs. TOR,W,36,5,10,0.5,1,1,1.0,4,7,0.571,1,4,5,6,1,0,6,2,15,9,1,112.2,116.3,1.090,1.153,49.1,53.0,12.7,17.0,1.838,2.429,49.0,53.3,42.4,36.0
22020,1629636,0022000653,"MAR 22, 2021",CLE vs. SAC,L,28,6,15,0.4,2,4,0.5,3,4,0.75,0,0,0,2,1,0,1,4,17,-26,1,119.6,114.7,1.156,1.106,52.7,52.1,12.7,11.7,1.705,1.750,62.7,70.7,39.1,27.0
22020,1629636,0022000671,"MAR 24, 2021",CLE @ CHI,W,37,8,20,0.4,4,6,0.667,2,2,1.0,1,3,4,9,1,0,3,5,22,14,1,113.9,112.3,1.088,1.092,50.5,50.3,11.6,14.7,1.344,1.467,61.5,60.0,33.9,35.0
22020,1629636,0022000693,"MAR 26, 2021",CLE @ LAL,L,33,6,17,0.353,1,6,0.167,1,1,1.0,0,2,2,5,1,0,4,2,14,-10,1,106.8,116.0,1.037,1.111,47.4,51.1,12.6,12.0,1.511,1.241,57.0,61.3,34.9,36.0
22020,1629636,0022000702,"MAR 27, 2021",CLE @ SAC,L,33,7,18,0.389,1,3,0.333,3,4,0.75,1,2,3,2,2,0,2,1,18,-6,1,119.0,110.7,1.152,1.100,52.6,51.0,12.7,12.7,1.707,1.727,62.9,66.0,38.3,28.0
22020,1629636,0022000715,"MAR 29, 2021",CLE @ UTA,L,36,8,16,0.5,2,4,0.5,0,0,0.0,1,4,5,5,1,0,3,0,18,-33,1,108.2,104.0,1.058,1.005,48.8,47.1,13.0,14.7,1.716,1.571,60.8,60.0,32.5,28.0
22020,1629636,0022000731,"APR 01, 2021",CLE vs. PHI,L,33,3,8,0.375,0,3,0.0,0,0,0.0,0,4,4,8,1,0,7,2,6,-15,1,109.4,109.0,1.044,1.072,47.9,50.0,15.4,14.0,1.997,1.500,56.0,57.3,36.0,32.0
