SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3,OPP DEF EFF,OPP DEF EFF L3,OPP F%,OPP F% L3,OPP FB PTS,OPP FB PTS L3,OPP FB EFF,OPP FB EFF L3,OPP 2PTS,OPP 2PTS L3,OPP 3PTS,OPP 3PTS L3
22023,1629636,0022300067,"OCT 25, 2023",CLE @ BKN,W,32,6,12,0.5,1,5,0.2,2,2,1.0,1,1,2,5,2,0,6,2,15,6,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22023,1629636,0022300001,"NOV 03, 2023",CLE @ IND,L,32,5,11,0.455,0,2,0.0,4,4,1.0,0,0,0,6,2,1,4,1,14,-10,1,125.0,126.7,1.165,1.204,54.1,55.5,15.0,12.7,2.857,2.533,67.0,66.0,35.3,38.0
22023,1629636,0022300142,"NOV 05, 2023",CLE vs. GSW,W,30,6,17,0.353,0,5,0.0,12,13,0.923,0,3,3,7,0,0,6,3,24,15,1,109.8,114.0,1.059,1.103,49.1,51.2,11.5,13.0,1.683,2.053,57.7,58.7,34.0,36.0
22023,1629636,0022300167,"NOV 08, 2023",CLE @ OKC,L,36,7,11,0.636,1,3,0.333,0,1,0.0,1,2,3,9,2,1,8,4,15,-1,1,116.7,122.7,1.106,1.141,50.4,52.0,14.1,15.0,1.678,1.800,57.4,54.7,40.7,45.0
22023,1629636,0022300176,"NOV 11, 2023",CLE @ GSW,W,36,6,13,0.462,3,5,0.6,4,6,0.667,2,4,6,4,5,0,4,2,19,5,1,110.1,110.7,1.075,1.106,49.6,50.8,13.8,18.3,1.938,2.391,57.3,56.7,34.3,35.0
22023,1629636,0022300191,"NOV 13, 2023",CLE @ SAC,L,34,5,14,0.357,3,8,0.375,3,4,0.75,0,3,3,6,0,0,1,1,16,-14,1,113.8,112.7,1.083,1.089,50.1,51.1,11.9,11.3,1.583,1.259,61.3,64.0,34.5,30.0
22023,1629636,0022300030,"NOV 17, 2023",CLE vs. DET,W,34,10,19,0.526,2,5,0.4,6,8,0.75,1,2,3,3,0,0,5,1,28,-6,1,115.2,119.7,1.116,1.178,52.0,54.7,13.0,16.3,1.345,1.441,60.2,61.3,30.8,32.0
22023,1629636,0022300210,"NOV 19, 2023",CLE vs. DEN,W,33,10,16,0.625,2,4,0.5,4,5,0.8,0,3,3,6,1,1,4,0,26,18,1,107.0,110.0,1.065,1.112,49.3,51.5,13.7,10.3,1.708,1.240,58.2,56.7,32.0,35.0
22023,1629636,0022300040,"NOV 21, 2023",CLE @ PHI,W,43,10,25,0.4,2,6,0.333,10,11,0.909,1,4,5,8,3,0,4,1,32,4,1,111.5,110.7,1.084,1.127,49.6,50.7,16.6,17.7,2.455,3.118,56.0,52.7,37.2,41.0
22023,1629636,0022300229,"NOV 22, 2023",CLE vs. MIA,L,27,6,11,0.545,1,2,0.5,1,2,0.5,0,1,1,3,1,0,3,3,14,-24,1,108.9,105.7,1.086,1.102,48.8,49.1,14.4,12.3,2.185,2.313,53.3,48.0,41.1,41.0
22023,1629636,0022300242,"NOV 25, 2023",CLE vs. LAL,L,14,2,6,0.333,0,1,0.0,2,2,1.0,0,1,1,3,1,0,2,1,6,-3,1,112.1,102.3,1.076,1.006,48.4,44.5,13.8,10.3,1.654,1.722,57.5,50.7,41.4,41.0
22023,1629636,0022300251,"NOV 26, 2023",CLE vs. TOR,W,41,10,16,0.625,3,6,0.5,1,1,1.0,0,2,2,8,0,0,5,2,24,12,1,112.9,121.7,1.089,1.172,49.8,53.3,14.1,16.7,1.899,1.852,59.3,66.7,37.5,42.0
22023,1629636,0022300055,"NOV 28, 2023",CLE vs. ATL,W,38,7,15,0.467,2,5,0.4,3,4,0.75,1,1,2,8,2,0,2,1,19,22,1,121.1,122.0,1.142,1.123,51.9,50.9,15.8,8.7,1.839,1.182,63.0,68.0,40.5,38.0
22023,1629636,0022300265,"NOV 30, 2023",CLE vs. POR,L,37,6,18,0.333,2,8,0.25,1,1,1.0,1,3,4,7,1,0,8,0,15,2,1,112.5,107.7,1.094,1.027,50.8,47.9,16.9,10.3,1.811,1.033,61.5,54.7,32.5,32.0
22023,1629636,0022300283,"DEC 02, 2023",CLE @ DET,W,34,9,23,0.391,2,7,0.286,2,3,0.667,0,2,2,5,3,1,2,1,22,13,1,118.5,125.7,1.142,1.176,53.1,54.3,14.4,16.7,1.593,2.174,62.1,62.0,33.3,38.0
22023,1629636,0022301205,"DEC 06, 2023",CLE vs. ORL,W,40,10,18,0.556,1,4,0.25,5,5,1.0,2,1,3,9,0,0,0,1,26,8,1,110.0,124.7,1.057,1.172,49.0,54.9,14.3,21.0,1.692,2.423,56.1,62.7,35.3,38.0
22023,1629636,0022301220,"DEC 08, 2023",CLE @ MIA,W,26,6,11,0.545,1,4,0.25,5,7,0.714,0,2,2,6,4,0,2,4,18,20,1,111.6,126.3,1.108,1.204,50.0,55.2,14.3,15.7,2.206,2.611,55.7,68.0,40.6,41.0
22023,1629636,0022300294,"DEC 11, 2023",CLE @ ORL,L,39,11,23,0.478,3,9,0.333,11,12,0.917,1,5,6,5,2,0,3,0,36,6,1,109.6,113.7,1.055,1.105,48.9,51.6,13.7,11.0,1.706,2.750,56.5,61.3,34.8,34.0
22023,1629636,0022300305,"DEC 12, 2023",CLE @ BOS,L,38,11,23,0.478,4,8,0.5,0,0,0.0,0,2,2,7,1,0,2,1,26,-3,1,108.8,121.3,1.063,1.166,48.0,51.8,13.0,14.3,1.826,1.536,54.0,53.3,40.6,50.0
22023,1629636,0022300319,"DEC 14, 2023",CLE @ BOS,L,36,8,19,0.421,3,7,0.429,0,0,0.0,1,1,2,3,2,0,5,2,19,-11,1,109.0,119.3,1.066,1.160,48.0,50.7,12.8,12.7,1.813,2.111,53.8,52.0,41.3,53.0
22023,1629636,0022300675,"JAN 31, 2024",CLE vs. DET,W,20,7,12,0.583,2,6,0.333,3,3,1.0,0,0,0,3,2,0,1,1,19,-16,1,122.1,109.3,1.170,1.090,54.2,50.0,14.2,12.3,1.652,1.682,64.9,62.0,35.5,34.0
22023,1629636,0022300687,"FEB 01, 2024",CLE @ MEM,W,24,4,10,0.4,1,3,0.333,0,0,0.0,0,2,2,7,1,0,3,0,9,2,1,112.6,108.3,1.096,1.109,49.7,51.1,13.7,15.7,1.733,1.808,55.0,61.3,39.6,33.0
22023,1629636,0022300703,"FEB 03, 2024",CLE @ SAS,W,23,1,3,0.333,0,2,0.0,2,2,1.0,0,3,3,4,1,0,3,2,4,-1,1,120.9,113.3,1.150,1.102,52.4,52.9,13.9,15.0,1.632,1.364,62.5,73.3,40.7,23.0
22023,1629636,0022300714,"FEB 05, 2024",CLE vs. SAC,W,28,4,7,0.571,2,4,0.5,1,1,1.0,1,1,2,5,0,0,2,1,11,4,1,117.5,117.3,1.127,1.108,51.1,51.0,12.2,12.3,1.672,1.276,58.4,64.0,40.3,34.0
22023,1629636,0022300728,"FEB 07, 2024",CLE @ WAS,W,28,4,12,0.333,1,5,0.2,4,4,1.0,0,0,0,4,0,0,3,0,13,9,1,124.0,125.0,1.170,1.191,54.0,56.2,14.7,16.7,1.880,1.923,67.3,72.7,38.0,30.0
22023,1629636,0022300735,"FEB 08, 2024",CLE @ BKN,W,29,6,10,0.6,0,3,0.0,2,2,1.0,0,0,0,7,1,0,2,2,14,23,1,115.4,116.3,1.132,1.143,51.2,52.8,14.8,18.0,2.245,2.571,57.0,65.3,40.1,35.0
22023,1629636,0022300756,"FEB 10, 2024",CLE @ TOR,W,29,4,11,0.364,1,5,0.2,2,2,1.0,1,2,3,8,1,0,2,0,11,14,1,117.5,119.7,1.145,1.199,51.8,52.5,13.7,14.7,2.052,2.000,61.7,56.7,39.9,50.0
22023,1629636,0022300762,"FEB 12, 2024",CLE vs. PHI,L,31,9,16,0.563,3,8,0.375,0,0,0.0,0,0,0,9,1,0,0,0,21,-8,1,113.9,122.3,1.107,1.159,51.1,52.3,15.8,19.0,2.658,3.167,59.4,57.3,35.1,45.0
22023,1629636,0022300781,"FEB 14, 2024",CLE vs. CHI,W,31,4,10,0.4,2,5,0.4,2,2,1.0,0,1,1,7,1,0,2,1,12,0,1,113.0,116.7,1.120,1.159,50.2,52.1,13.4,10.3,2.028,1.938,52.6,54.7,43.1,45.0
22023,1629636,0022300792,"FEB 22, 2024",CLE vs. ORL,L,37,6,12,0.5,3,5,0.6,3,5,0.6,0,2,2,10,2,0,4,2,18,2,1,110.9,111.7,1.088,1.144,50.2,52.1,14.1,13.3,1.737,1.481,57.9,58.7,35.0,36.0
