SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MIN_ROLLING,FGM_ROLLING,FGA_ROLLING,FG_PCT_ROLLING,FG3M_ROLLING,FG3A_ROLLING,FG3_PCT_ROLLING,FTM_ROLLING,FTA_ROLLING,FT_PCT_ROLLING,OREB_ROLLING,DREB_ROLLING,REB_ROLLING,AST_ROLLING,STL_ROLLING,BLK_ROLLING,TOV_ROLLING,PF_ROLLING,PTS_ROLLING,PLUS_MINUS_ROLLING,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3,OPP DEF EFF,OPP DEF EFF L3,OPP F%,OPP F% L3,OPP FB PTS,OPP FB PTS L3,OPP FB EFF,OPP FB EFF L3,OPP 2PTS,OPP 2PTS L3,OPP 3PTS,OPP 3PTS L3
22022,1628378,0022200090,"OCT 30, 2022",CLE vs. NYK,W,37,12,20,0.6,8,13,0.615,6,8,0.75,0,3,3,12,1,2,4,4,38,18,1,"[35, 35, 45, 37, 46]","[12, 10, 12, 5, 15]","[21, 19, 29, 19, 25]","[0.571, 0.526, 0.414, 0.263, 0.6]","[2, 4, 5, 1, 5]","[8, 6, 12, 7, 9]","[0.25, 0.667, 0.417, 0.143, 0.556]","[5, 8, 8, 3, 6]","[6, 9, 9, 4, 6]","[0.833, 0.889, 0.889, 0.75, 1.0]","[0, 3, 2, 2, 0]","[2, 6, 3, 2, 4]","[2, 9, 5, 4, 4]","[9, 8, 4, 8, 3]","[2, 1, 3, 2, 1]","[0, 0, 1, 0, 0]","[3, 4, 6, 1, 7]","[4, 3, 2, 3, 4]","[31, 32, 37, 14, 41]","[10, 19, 4, 9, 18]",114.6,117.3,1.055,1.086,49.4,50.8,15.6,14.0,2.229,1.826,59.6,62.7,35.4,33.0
22022,1628378,0022200107,"NOV 02, 2022",CLE vs. BOS,W,44,11,27,0.407,3,9,0.333,0,0,0.0,0,4,4,6,1,2,0,3,25,-3,1,"[35, 45, 37, 46, 37]","[10, 12, 5, 15, 12]","[19, 29, 19, 25, 20]","[0.526, 0.414, 0.263, 0.6, 0.6]","[4, 5, 1, 5, 8]","[6, 12, 7, 9, 13]","[0.667, 0.417, 0.143, 0.556, 0.615]","[8, 8, 3, 6, 6]","[9, 9, 4, 6, 8]","[0.889, 0.889, 0.75, 1.0, 0.75]","[3, 2, 2, 0, 0]","[6, 3, 2, 4, 3]","[9, 5, 4, 4, 3]","[8, 4, 8, 3, 12]","[1, 3, 2, 1, 1]","[0, 1, 0, 0, 2]","[4, 6, 1, 7, 4]","[3, 2, 3, 4, 4]","[32, 37, 14, 41, 38]","[19, 4, 9, 18, 18]",114.5,115.3,1.123,1.109,51.9,51.6,9.7,12.0,1.657,2.571,61.0,61.3,34.5,33.0
22022,1628378,0022200140,"NOV 06, 2022",CLE @ LAL,W,37,10,17,0.588,1,7,0.143,12,13,0.923,1,4,5,2,1,1,3,1,33,6,1,"[45, 37, 46, 37, 44]","[12, 5, 15, 12, 11]","[29, 19, 25, 20, 27]","[0.414, 0.263, 0.6, 0.6, 0.407]","[5, 1, 5, 8, 3]","[12, 7, 9, 13, 9]","[0.417, 0.143, 0.556, 0.615, 0.333]","[8, 3, 6, 6, 0]","[9, 4, 6, 8, 0]","[0.889, 0.75, 1.0, 0.75, 0.0]","[2, 2, 0, 0, 0]","[3, 2, 4, 3, 4]","[5, 4, 4, 3, 4]","[4, 8, 3, 12, 6]","[3, 2, 1, 1, 1]","[1, 0, 0, 2, 2]","[6, 1, 7, 4, 0]","[2, 3, 4, 4, 3]","[37, 14, 41, 38, 25]","[4, 9, 18, 18, -3]",113.8,119.0,1.059,1.13,48.8,51.2,17.9,12.7,2.043,1.81,61.3,66.7,36.4,40.0
22022,1628378,0022200158,"NOV 07, 2022",CLE @ LAC,L,39,10,15,0.667,8,11,0.727,2,3,0.667,0,1,1,2,0,0,3,5,30,-2,1,"[37, 46, 37, 44, 37]","[5, 15, 12, 11, 10]","[19, 25, 20, 27, 17]","[0.263, 0.6, 0.6, 0.407, 0.588]","[1, 5, 8, 3, 1]","[7, 9, 13, 9, 7]","[0.143, 0.556, 0.615, 0.333, 0.143]","[3, 6, 6, 0, 12]","[4, 6, 8, 0, 13]","[0.75, 1.0, 0.75, 0.0, 0.923]","[2, 0, 0, 0, 1]","[2, 4, 3, 4, 4]","[4, 4, 3, 4, 5]","[8, 3, 12, 6, 2]","[2, 1, 1, 1, 1]","[0, 0, 2, 2, 1]","[1, 7, 4, 0, 3]","[3, 4, 4, 3, 1]","[14, 41, 38, 25, 33]","[9, 18, 18, -3, 6]",106.6,105.7,1.047,1.039,47.7,47.0,13.0,11.0,1.548,1.571,55.8,50.7,36.0,38.0
22022,1628378,0022200171,"NOV 09, 2022",CLE @ SAC,L,39,16,28,0.571,6,14,0.429,0,0,0.0,3,2,5,4,1,0,3,3,38,-8,1,"[46, 37, 44, 37, 39]","[15, 12, 11, 10, 10]","[25, 20, 27, 17, 15]","[0.6, 0.6, 0.407, 0.588, 0.667]","[5, 8, 3, 1, 8]","[9, 13, 9, 7, 11]","[0.556, 0.615, 0.333, 0.143, 0.727]","[6, 6, 0, 12, 2]","[6, 8, 0, 13, 3]","[1.0, 0.75, 0.0, 0.923, 0.667]","[0, 0, 0, 1, 0]","[4, 3, 4, 4, 1]","[4, 3, 4, 5, 1]","[3, 12, 6, 2, 2]","[1, 1, 1, 1, 0]","[0, 2, 2, 1, 0]","[7, 4, 0, 3, 3]","[4, 4, 3, 1, 5]","[41, 38, 25, 33, 30]","[18, 18, -3, 6, -2]",116.8,116.3,1.11,1.098,51.5,51.2,11.4,7.3,1.537,1.222,64.7,72.7,34.0,29.0
22022,1628378,0022200182,"NOV 11, 2022",CLE @ GSW,L,37,10,20,0.5,3,10,0.3,6,6,1.0,0,10,10,9,2,1,3,0,29,7,1,"[37, 44, 37, 39, 39]","[12, 11, 10, 10, 16]","[20, 27, 17, 15, 28]","[0.6, 0.407, 0.588, 0.667, 0.571]","[8, 3, 1, 8, 6]","[13, 9, 7, 11, 14]","[0.615, 0.333, 0.143, 0.727, 0.429]","[6, 0, 12, 2, 0]","[8, 0, 13, 3, 0]","[0.75, 0.0, 0.923, 0.667, 0.0]","[0, 0, 1, 0, 3]","[3, 4, 4, 1, 2]","[3, 4, 5, 1, 5]","[12, 6, 2, 2, 4]","[1, 1, 1, 0, 1]","[2, 2, 1, 0, 0]","[4, 0, 3, 3, 3]","[4, 3, 1, 5, 3]","[38, 25, 33, 30, 38]","[18, -3, 6, -2, -8]",120.6,119.0,1.12,1.127,51.5,52.5,14.8,13.0,1.68,1.393,58.4,54.0,38.5,39.0
22022,1628378,0022200216,"NOV 16, 2022",CLE @ MIL,L,34,7,19,0.368,3,9,0.333,6,6,1.0,0,2,2,3,2,0,2,1,23,-17,1,"[44, 37, 39, 39, 37]","[11, 10, 10, 16, 10]","[27, 17, 15, 28, 20]","[0.407, 0.588, 0.667, 0.571, 0.5]","[3, 1, 8, 6, 3]","[9, 7, 11, 14, 10]","[0.333, 0.143, 0.727, 0.429, 0.3]","[0, 12, 2, 0, 6]","[0, 13, 3, 0, 6]","[0.0, 0.923, 0.667, 0.0, 1.0]","[0, 1, 0, 3, 0]","[4, 4, 1, 2, 10]","[4, 5, 1, 5, 10]","[6, 2, 2, 4, 9]","[1, 1, 0, 1, 2]","[2, 1, 0, 0, 1]","[0, 3, 3, 3, 3]","[3, 1, 5, 3, 0]","[25, 33, 30, 38, 29]","[-3, 6, -2, -8, 7]",107.0,121.3,1.02,1.109,46.9,50.7,14.2,16.7,2.19,3.125,58.0,66.7,33.0,37.0
22022,1628378,0022200225,"NOV 18, 2022",CLE vs. CHA,W,44,11,22,0.5,2,9,0.222,10,11,0.909,1,3,4,6,1,0,6,2,34,10,1,"[37, 39, 39, 37, 34]","[10, 10, 16, 10, 7]","[17, 15, 28, 20, 19]","[0.588, 0.667, 0.571, 0.5, 0.368]","[1, 8, 6, 3, 3]","[7, 11, 14, 10, 9]","[0.143, 0.727, 0.429, 0.3, 0.333]","[12, 2, 0, 6, 6]","[13, 3, 0, 6, 6]","[0.923, 0.667, 0.0, 1.0, 1.0]","[1, 0, 3, 0, 0]","[4, 1, 2, 10, 2]","[5, 1, 5, 10, 2]","[2, 2, 4, 9, 3]","[1, 0, 1, 2, 2]","[1, 0, 0, 1, 0]","[3, 3, 3, 3, 2]","[1, 5, 3, 0, 1]","[33, 30, 38, 29, 23]","[6, -2, -8, 7, -17]",114.8,120.7,1.093,1.169,50.6,52.9,10.1,8.7,1.45,1.238,60.5,58.7,34.3,41.0
22022,1628378,0022200244,"NOV 20, 2022",CLE vs. MIA,W,27,5,12,0.417,2,7,0.286,1,2,0.5,1,2,3,5,2,0,1,4,13,15,1,"[39, 39, 37, 34, 44]","[10, 16, 10, 7, 11]","[15, 28, 20, 19, 22]","[0.667, 0.571, 0.5, 0.368, 0.5]","[8, 6, 3, 3, 2]","[11, 14, 10, 9, 9]","[0.727, 0.429, 0.3, 0.333, 0.222]","[2, 0, 6, 6, 10]","[3, 0, 6, 6, 11]","[0.667, 0.0, 1.0, 1.0, 0.909]","[0, 3, 0, 0, 1]","[1, 2, 10, 2, 3]","[1, 5, 10, 2, 4]","[2, 4, 9, 3, 6]","[0, 1, 2, 2, 1]","[0, 0, 1, 0, 0]","[3, 3, 3, 2, 6]","[5, 3, 0, 1, 2]","[30, 38, 29, 23, 34]","[-2, -8, 7, -17, 10]",109.9,110.3,1.081,1.101,48.7,50.1,12.4,7.7,2.01,1.15,54.4,64.7,40.7,36.0
22022,1628378,0022200248,"NOV 21, 2022",CLE vs. ATL,W,39,11,22,0.5,4,8,0.5,3,4,0.75,0,4,4,9,3,0,3,2,29,8,1,"[39, 37, 34, 44, 27]","[16, 10, 7, 11, 5]","[28, 20, 19, 22, 12]","[0.571, 0.5, 0.368, 0.5, 0.417]","[6, 3, 3, 2, 2]","[14, 10, 9, 9, 7]","[0.429, 0.3, 0.333, 0.222, 0.286]","[0, 6, 6, 10, 1]","[0, 6, 6, 11, 2]","[0.0, 1.0, 1.0, 0.909, 0.5]","[3, 0, 0, 1, 1]","[2, 10, 2, 3, 2]","[5, 10, 2, 4, 3]","[4, 9, 3, 6, 5]","[1, 2, 2, 1, 2]","[0, 1, 0, 0, 0]","[3, 3, 2, 6, 1]","[3, 0, 1, 2, 4]","[38, 29, 23, 34, 13]","[-8, 7, -17, 10, 15]",114.4,118.0,1.077,1.106,50.3,51.0,13.8,18.7,2.056,2.947,61.1,63.3,32.4,35.0
