SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3,OPP DEF EFF,OPP DEF EFF L3,OPP F%,OPP F% L3,OPP FB PTS,OPP FB PTS L3,OPP FB EFF,OPP FB EFF L3,OPP 2PTS,OPP 2PTS L3,OPP 3PTS,OPP 3PTS L3
22021,1629636,0022100007,"OCT 20, 2021",CLE @ MEM,L,32,5,15,0.333,3,10,0.3,0,0,0.0,0,1,1,12,0,0,2,2,13,0,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22021,1629636,0022100048,"OCT 25, 2021",CLE @ DEN,W,31,4,9,0.444,1,3,0.333,0,0,0.0,1,2,3,7,1,0,3,1,9,12,1,97.0,97.0,0.949,0.949,43.8,43.8,8.5,8.5,0.850,0.850,56.0,56.0,30.0,30.0
22021,1629636,0022100064,"OCT 27, 2021",CLE @ LAC,W,28,5,8,0.625,2,3,0.667,4,4,1.0,0,4,4,6,1,0,6,0,16,10,1,107.0,107.0,1.003,1.003,45.6,45.6,16.0,16.0,2.286,2.286,52.7,52.7,38.0,38.0
22021,1629636,0022100077,"OCT 29, 2021",CLE @ LAL,L,32,6,14,0.429,3,9,0.333,3,4,0.75,0,1,1,11,1,0,6,0,18,-5,1,119.6,120.7,1.088,1.098,50.1,50.4,11.8,14.7,1.229,1.419,61.6,63.3,39.0,41.0
22021,1629636,0022100088,"OCT 30, 2021",CLE @ PHX,L,32,5,11,0.455,1,5,0.2,0,0,0.0,0,3,3,5,2,1,6,1,11,-8,1,114.8,116.3,1.114,1.123,48.8,49.4,14.5,13.3,1.871,1.818,51.5,50.7,51.0,51.0
22021,1629636,0022100094,"NOV 01, 2021",CLE @ CHA,W,35,5,13,0.385,1,6,0.167,5,7,0.714,0,3,3,4,3,0,3,1,16,-9,1,115.3,112.7,1.091,1.115,48.6,49.2,8.9,5.0,1.378,0.938,59.1,58.7,40.7,41.0
22021,1629636,0022100108,"NOV 03, 2021",CLE vs. POR,W,36,6,9,0.667,5,6,0.833,2,2,1.0,0,2,2,10,1,0,3,2,19,4,1,110.1,110.0,1.063,1.116,47.5,49.2,11.7,11.7,1.281,1.591,52.0,50.0,45.0,48.0
22021,1629636,0022100127,"NOV 05, 2021",CLE @ TOR,W,36,8,12,0.667,2,3,0.667,3,3,1.0,0,1,1,8,1,0,4,1,21,1,1,100.2,99.3,0.996,0.996,45.2,45.2,8.8,9.3,1.295,1.647,49.6,44.7,35.0,37.0
22021,1629636,0022100140,"NOV 07, 2021",CLE @ NYK,W,35,6,14,0.429,4,5,0.8,0,0,0.0,0,3,3,5,1,0,3,1,16,19,1,109.0,107.3,1.055,1.079,46.7,47.1,14.9,16.3,1.914,2.130,48.7,48.0,43.3,46.0
22021,1629636,0022100158,"NOV 10, 2021",CLE vs. WAS,L,36,8,16,0.5,3,10,0.3,0,0,0.0,0,1,1,4,1,0,4,2,19,5,1,105.9,96.7,1.012,0.964,47.5,45.3,8.2,6.0,0.943,0.500,62.4,57.3,26.7,26.0
22021,1629636,0022100176,"NOV 12, 2021",CLE vs. DET,W,35,8,14,0.571,4,9,0.444,1,1,1.0,0,2,2,7,2,0,2,2,21,29,1,106.9,103.0,1.051,1.029,47.8,47.5,11.0,8.7,1.486,1.625,54.4,51.3,36.9,35.0
22021,1629636,0022100190,"NOV 13, 2021",CLE vs. BOS,W,36,7,15,0.467,2,8,0.25,6,6,1.0,1,3,4,6,1,0,3,2,22,-4,1,108.6,102.7,1.029,1.025,47.0,46.0,11.9,10.7,1.505,1.455,54.8,55.3,36.3,35.0
22021,1629636,0022100199,"NOV 15, 2021",CLE vs. BOS,L,35,6,15,0.4,3,7,0.429,2,3,0.667,0,1,1,2,1,0,3,2,17,-9,1,107.2,97.3,1.024,0.970,46.7,43.9,11.5,10.7,1.419,1.280,53.8,50.7,35.8,32.0
22021,1629636,0022100216,"NOV 17, 2021",CLE @ BKN,L,40,10,26,0.385,3,13,0.231,1,1,1.0,1,4,5,6,3,0,3,0,24,-11,1,104.4,108.3,1.020,1.070,46.9,47.8,15.5,18.0,1.856,2.842,57.1,53.3,32.4,40.0
22021,1629636,0022100224,"NOV 18, 2021",CLE vs. GSW,L,38,10,22,0.455,4,11,0.364,1,1,1.0,1,0,1,5,2,0,7,2,25,-2,1,101.6,99.3,0.967,0.956,43.9,44.0,12.4,9.0,1.438,0.871,49.7,52.0,37.1,32.0
22021,1629636,0022100253,"NOV 22, 2021",CLE vs. BKN,L,39,9,27,0.333,2,10,0.2,4,4,1.0,2,3,5,11,0,0,2,3,24,13,1,104.6,109.7,1.024,1.076,47.0,48.9,14.9,15.7,1.801,2.350,56.2,52.0,33.0,38.0
22021,1629636,0022100267,"NOV 24, 2021",CLE vs. PHX,L,30,8,19,0.421,0,6,0.0,3,5,0.6,1,2,3,7,1,0,2,6,19,-10,1,104.8,104.0,1.011,1.026,46.0,48.6,12.6,18.0,1.667,1.862,53.8,60.7,36.5,28.0
22021,1629636,0022100295,"NOV 27, 2021",CLE vs. ORL,W,36,11,21,0.524,3,7,0.429,1,2,0.5,1,3,4,11,1,0,4,2,26,16,1,111.2,117.3,1.087,1.140,49.4,51.0,12.1,16.3,1.330,1.531,55.2,56.0,39.8,47.0
22021,1629636,0022100310,"NOV 29, 2021",CLE @ DAL,W,33,7,13,0.538,1,3,0.333,3,3,1.0,0,2,2,9,0,0,5,3,18,22,1,106.2,107.0,1.066,1.087,48.9,50.5,12.1,12.7,1.912,2.714,58.0,56.7,34.2,31.0
22021,1629636,0022100323,"DEC 01, 2021",CLE @ MIA,W,37,6,13,0.462,4,8,0.5,0,0,0.0,0,3,3,7,0,0,5,1,16,23,1,103.3,112.3,1.030,1.125,46.0,49.4,12.0,16.7,1.676,2.778,46.6,48.0,41.1,47.0
22021,1629636,0022100334,"DEC 03, 2021",CLE @ WAS,W,34,11,17,0.647,5,6,0.833,5,5,1.0,1,7,8,10,1,0,7,6,32,29,1,105.7,112.3,1.046,1.150,48.6,53.4,8.7,11.7,1.123,2.500,58.9,63.3,30.0,33.0
22021,1629636,0022100349,"DEC 05, 2021",CLE vs. UTA,L,35,11,19,0.579,5,8,0.625,4,4,1.0,2,2,4,5,4,1,4,1,31,-7,1,104.6,114.0,1.035,1.133,47.7,52.0,11.9,9.0,1.578,1.500,58.1,64.0,31.8,33.0
22021,1629636,0022100358,"DEC 06, 2021",CLE @ MIL,L,35,3,12,0.25,1,3,0.333,3,3,1.0,0,3,3,9,0,0,4,0,10,-6,1,106.4,108.0,1.034,1.054,46.5,45.6,11.9,12.7,1.663,1.583,52.3,41.3,40.0,52.0
22021,1629636,0022100367,"DEC 08, 2021",CLE vs. CHI,W,33,9,16,0.563,3,7,0.429,3,3,1.0,0,3,3,6,1,0,2,3,24,20,1,104.8,106.3,1.032,1.040,47.1,48.5,10.9,10.3,1.402,1.348,54.0,65.3,34.1,28.0
22021,1629636,0022100387,"DEC 10, 2021",CLE @ MIN,W,31,5,10,0.5,2,5,0.4,0,0,0.0,0,2,2,12,1,0,5,2,12,29,1,108.8,122.3,1.046,1.174,47.8,51.2,14.5,16.3,1.843,3.267,52.9,46.7,36.8,56.0
22021,1629636,0022100393,"DEC 11, 2021",CLE vs. SAC,W,37,7,17,0.412,1,6,0.167,1,1,1.0,0,6,6,13,3,1,5,3,16,19,1,113.9,117.7,1.088,1.124,50.0,51.1,11.7,10.7,1.473,1.778,61.3,58.0,36.3,43.0
22021,1629636,0022100404,"DEC 13, 2021",CLE vs. MIA,W,36,5,16,0.313,3,7,0.429,3,3,1.0,0,4,4,5,3,0,3,2,16,2,1,104.0,100.3,1.041,0.999,46.5,44.8,12.0,10.7,1.658,1.185,46.3,42.0,41.4,42.0
22021,1629636,0022100417,"DEC 15, 2021",CLE vs. HOU,W,25,7,11,0.636,3,6,0.5,4,4,1.0,1,1,2,3,0,0,1,1,21,30,1,112.6,120.7,1.075,1.191,49.0,55.2,15.6,15.3,1.482,1.533,55.7,55.3,38.3,41.0
22021,1629636,0022100446,"DEC 18, 2021",CLE @ MIL,W,32,10,13,0.769,2,4,0.5,0,0,0.0,0,4,4,6,1,0,2,0,22,16,1,106.9,110.7,1.042,1.087,46.4,48.4,11.2,14.0,1.520,1.909,50.8,53.3,42.3,44.0
22021,1629636,0022100471,"DEC 22, 2021",CLE @ BOS,L,40,11,22,0.5,2,8,0.25,4,4,1.0,0,2,2,6,3,0,3,0,28,-6,1,107.3,108.7,1.050,1.080,47.6,48.9,11.3,9.3,1.506,1.000,52.7,47.3,37.5,39.0
22021,1629636,0022100494,"DEC 26, 2021",CLE vs. TOR,W,29,9,17,0.529,3,9,0.333,1,1,1.0,1,3,4,8,2,0,4,0,22,37,1,105.2,110.7,1.056,1.053,47.9,48.6,10.6,15.7,1.621,2.765,51.7,59.3,36.9,36.0
22021,1629636,0022100562,"JAN 04, 2022",CLE vs. MEM,L,36,9,26,0.346,3,10,0.3,6,6,1.0,3,1,4,10,0,0,1,1,27,-3,1,108.1,102.7,1.053,1.017,47.7,46.4,13.6,17.3,1.830,2.889,53.1,52.7,38.8,36.0
22021,1629636,0022100590,"JAN 07, 2022",CLE @ POR,W,39,10,17,0.588,5,8,0.625,1,1,1.0,0,1,1,6,1,0,3,1,26,9,1,113.2,128.3,1.120,1.297,50.7,57.4,12.5,17.0,1.715,3.400,55.8,53.3,40.8,52.0
